model,case_type,high_confidence_error,image_id,image_path,series,human_score,human_label,predicted_label,score_good,score_bad,prediction_confidence,reference_reason,analysis_reason,boundary_case,possible_distribution_shift
ResNet18,disagreement,False,p7_img12,data/raw/p7_img12.png,p7_img,7,Bad,Good,0.922971,0.077029,0.922971,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet50,agreement,False,p0_img18,data/raw/p0_img18.png,p0_img,9,Good,Good,1.0,0.0,1.0,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。,,,
ResNet50,agreement,False,p7_img17,data/raw/p7_img17.png,p7_img,9,Good,Good,0.999967,3.3e-05,0.999967,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。,,,
ResNet50,agreement,False,p3_img13,data/raw/p3_img13.png,p3_img,8,Good,Good,0.999675,0.000325,0.999675,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。,,,
ResNet50,agreement,False,p4_seed17,data/raw/p4_seed17.jpg,p4_seed,6,Bad,Bad,0.239681,0.760319,0.760319,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
ResNet50,agreement,False,p6_seed12,data/raw/p6_seed12.jpg,p6_seed,6,Bad,Bad,0.312932,0.687068,0.687068,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。,,,
ResNet50,disagreement,True,p5_seed28,data/raw/p5_seed28.jpg,p5_seed,7,Bad,Good,0.998791,0.001209,0.998791,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet50,disagreement,True,p2_img15,data/raw/p2_img15.png,p2_img,7,Bad,Good,0.973723,0.026277,0.973723,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet50,disagreement,False,p0_img1,data/raw/p0_img1.png,p0_img,7,Bad,Good,0.970821,0.029179,0.970821,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet50,disagreement,False,p9_img16,data/raw/p9_img16.png,p9_img,7,Bad,Good,0.966734,0.033266,0.966734,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
ResNet50,disagreement,False,p4_seed26,data/raw/p4_seed26.jpg,p4_seed,7,Bad,Good,0.959638,0.040362,0.959638,依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。,,,
