"image_id","image_path","human_score","human_label","reason"
"p0_seed17","data/raw/p0_seed17.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p0_seed18","data/raw/p0_seed18.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_seed19","data/raw/p0_seed19.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed2","data/raw/p0_seed2.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed20","data/raw/p0_seed20.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p0_seed21","data/raw/p0_seed21.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed22","data/raw/p0_seed22.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed23","data/raw/p0_seed23.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed24","data/raw/p0_seed24.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_seed25","data/raw/p0_seed25.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_seed26","data/raw/p0_seed26.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p0_seed27","data/raw/p0_seed27.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p0_seed28","data/raw/p0_seed28.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed29","data/raw/p0_seed29.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p0_seed3","data/raw/p0_seed3.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed4","data/raw/p0_seed4.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed5","data/raw/p0_seed5.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p0_seed6","data/raw/p0_seed6.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p0_seed7","data/raw/p0_seed7.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed8","data/raw/p0_seed8.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p0_seed9","data/raw/p0_seed9.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p1_img0","data/raw/p1_img0.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img1","data/raw/p1_img1.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img10","data/raw/p1_img10.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p1_img11","data/raw/p1_img11.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img12","data/raw/p1_img12.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img13","data/raw/p1_img13.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img14","data/raw/p1_img14.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img15","data/raw/p1_img15.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img16","data/raw/p1_img16.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p1_img17","data/raw/p1_img17.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img18","data/raw/p1_img18.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img19","data/raw/p1_img19.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img2","data/raw/p1_img2.png","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p1_img20","data/raw/p1_img20.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p1_img21","data/raw/p1_img21.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img22","data/raw/p1_img22.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img23","data/raw/p1_img23.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img24","data/raw/p1_img24.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img25","data/raw/p1_img25.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img26","data/raw/p1_img26.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img27","data/raw/p1_img27.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img28","data/raw/p1_img28.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img29","data/raw/p1_img29.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img3","data/raw/p1_img3.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_img4","data/raw/p1_img4.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img5","data/raw/p1_img5.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img6","data/raw/p1_img6.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_img7","data/raw/p1_img7.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p1_img8","data/raw/p1_img8.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_img9","data/raw/p1_img9.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_seed1","data/raw/p1_seed1.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_seed11","data/raw/p1_seed11.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed13","data/raw/p1_seed13.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed14","data/raw/p1_seed14.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p1_seed15","data/raw/p1_seed15.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed16","data/raw/p1_seed16.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p1_seed17","data/raw/p1_seed17.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed18","data/raw/p1_seed18.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_seed19","data/raw/p1_seed19.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_seed20","data/raw/p1_seed20.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_seed21","data/raw/p1_seed21.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p1_seed22","data/raw/p1_seed22.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p1_seed23","data/raw/p1_seed23.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p1_seed24","data/raw/p1_seed24.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed25","data/raw/p1_seed25.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p1_seed26","data/raw/p1_seed26.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p1_seed27","data/raw/p1_seed27.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p1_seed28","data/raw/p1_seed28.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p1_seed29","data/raw/p1_seed29.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p1_seed6","data/raw/p1_seed6.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p1_seed9","data/raw/p1_seed9.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img0","data/raw/p2_img0.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img1","data/raw/p2_img1.png","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p2_img10","data/raw/p2_img10.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img11","data/raw/p2_img11.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img13","data/raw/p2_img13.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img14","data/raw/p2_img14.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img16","data/raw/p2_img16.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img17","data/raw/p2_img17.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img2","data/raw/p2_img2.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img20","data/raw/p2_img20.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img21","data/raw/p2_img21.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img22","data/raw/p2_img22.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img23","data/raw/p2_img23.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_img24","data/raw/p2_img24.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img25","data/raw/p2_img25.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_img26","data/raw/p2_img26.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img27","data/raw/p2_img27.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img28","data/raw/p2_img28.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img29","data/raw/p2_img29.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img3","data/raw/p2_img3.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img4","data/raw/p2_img4.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_img5","data/raw/p2_img5.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img6","data/raw/p2_img6.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img7","data/raw/p2_img7.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_img8","data/raw/p2_img8.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_img9","data/raw/p2_img9.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_seed10","data/raw/p2_seed10.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed11","data/raw/p2_seed11.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed12","data/raw/p2_seed12.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p2_seed13","data/raw/p2_seed13.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed14","data/raw/p2_seed14.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_seed15","data/raw/p2_seed15.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed16","data/raw/p2_seed16.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed17","data/raw/p2_seed17.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p2_seed18","data/raw/p2_seed18.jpg","5","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 5/10。"
"p2_seed19","data/raw/p2_seed19.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed20","data/raw/p2_seed20.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed21","data/raw/p2_seed21.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed22","data/raw/p2_seed22.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed23","data/raw/p2_seed23.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed24","data/raw/p2_seed24.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed25","data/raw/p2_seed25.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed26","data/raw/p2_seed26.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p2_seed27","data/raw/p2_seed27.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed28","data/raw/p2_seed28.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p2_seed29","data/raw/p2_seed29.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed8","data/raw/p2_seed8.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p2_seed9","data/raw/p2_seed9.jpg","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p3_img0","data/raw/p3_img0.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img1","data/raw/p3_img1.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img2","data/raw/p3_img2.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img20","data/raw/p3_img20.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img21","data/raw/p3_img21.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_img22","data/raw/p3_img22.png","10","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 10/10。"
"p3_img23","data/raw/p3_img23.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_img24","data/raw/p3_img24.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_img25","data/raw/p3_img25.png","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_img26","data/raw/p3_img26.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img27","data/raw/p3_img27.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img28","data/raw/p3_img28.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img29","data/raw/p3_img29.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img3","data/raw/p3_img3.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_img4","data/raw/p3_img4.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img5","data/raw/p3_img5.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img6","data/raw/p3_img6.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img7","data/raw/p3_img7.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img8","data/raw/p3_img8.png","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_img9","data/raw/p3_img9.png","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed0","data/raw/p3_seed0.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed1","data/raw/p3_seed1.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed10","data/raw/p3_seed10.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_seed11","data/raw/p3_seed11.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed12","data/raw/p3_seed12.jpg","4","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 4/10。"
"p3_seed13","data/raw/p3_seed13.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed14","data/raw/p3_seed14.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed15","data/raw/p3_seed15.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed16","data/raw/p3_seed16.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_seed17","data/raw/p3_seed17.jpg","9","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 9/10。"
"p3_seed18","data/raw/p3_seed18.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed19","data/raw/p3_seed19.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed2","data/raw/p3_seed2.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed20","data/raw/p3_seed20.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
"p3_seed21","data/raw/p3_seed21.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed22","data/raw/p3_seed22.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed23","data/raw/p3_seed23.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed24","data/raw/p3_seed24.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed25","data/raw/p3_seed25.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed26","data/raw/p3_seed26.jpg","7","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 7/10。"
"p3_seed27","data/raw/p3_seed27.jpg","6","Bad","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 6/10。"
"p3_seed28","data/raw/p3_seed28.jpg","8","Good","依道路可見、障礙物可辨、影像清晰、遮擋程度與場景真實性五項規則綜合評為 8/10。"
